scraped_at,sldc_ts,frequency,escom,biomass_mw,cogen_mw,minihydro_mw,wind_mw,solar_mw,grid_drawal_mw,total_mw
2026-05-08T02:27:23,08/05/2026 02:20:01,50.01,MESCOM,0.0,0.0,25.0,0.0,0.0,26.0,25.0
2026-05-08T02:27:23,08/05/2026 02:20:01,50.01,CESC,1.0,0.0,19.0,35.0,0.0,56.0,55.0
2026-05-08T02:27:23,08/05/2026 02:20:01,50.01,GESCOM,1.0,18.0,0.0,151.0,11.0,173.0,181.0
2026-05-08T02:27:23,08/05/2026 02:20:01,50.01,HESCOM,0.0,112.0,0.0,165.0,62.0,277.0,339.0
2026-05-08T02:27:23,08/05/2026 02:20:01,50.01,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T02:27:23,08/05/2026 02:20:01,50.01,TOTAL_IPPS,7.0,133.0,52.0,451.0,0.0,649.0,643.0
2026-05-08T02:28:41,08/05/2026 02:20:01,50.01,BESCOM,6.0,0.0,6.0,89.0,23.0,102.0,124.0
2026-05-08T02:28:41,08/05/2026 02:20:01,50.01,MESCOM,0.0,0.0,25.0,0.0,0.0,26.0,25.0
2026-05-08T02:28:41,08/05/2026 02:20:01,50.01,CESC,1.0,0.0,19.0,35.0,0.0,56.0,55.0
2026-05-08T02:28:41,08/05/2026 02:20:01,50.01,GESCOM,1.0,18.0,0.0,151.0,11.0,173.0,181.0
2026-05-08T02:28:41,08/05/2026 02:20:01,50.01,HESCOM,0.0,112.0,0.0,165.0,62.0,277.0,339.0
2026-05-08T02:28:41,08/05/2026 02:20:01,50.01,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T02:28:41,08/05/2026 02:20:01,50.01,TOTAL_IPPS,7.0,133.0,52.0,451.0,0.0,649.0,643.0
2026-05-08T02:29:51,08/05/2026 02:20:01,50.01,BESCOM,6.0,0.0,6.0,89.0,23.0,102.0,124.0
2026-05-08T02:29:51,08/05/2026 02:20:01,50.01,MESCOM,0.0,0.0,25.0,0.0,0.0,26.0,25.0
2026-05-08T02:29:51,08/05/2026 02:20:01,50.01,CESC,1.0,0.0,19.0,35.0,0.0,56.0,55.0
2026-05-08T02:29:51,08/05/2026 02:20:01,50.01,GESCOM,1.0,18.0,0.0,151.0,11.0,173.0,181.0
2026-05-08T02:29:51,08/05/2026 02:20:01,50.01,HESCOM,0.0,112.0,0.0,165.0,62.0,277.0,339.0
2026-05-08T02:29:51,08/05/2026 02:20:01,50.01,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T02:29:51,08/05/2026 02:20:01,50.01,TOTAL_IPPS,7.0,133.0,52.0,451.0,0.0,649.0,643.0
2026-05-08T02:30:07,08/05/2026 02:20:01,50.01,BESCOM,6.0,0.0,6.0,89.0,23.0,102.0,124.0
2026-05-08T02:30:07,08/05/2026 02:20:01,50.01,MESCOM,0.0,0.0,25.0,0.0,0.0,26.0,25.0
2026-05-08T02:30:07,08/05/2026 02:20:01,50.01,CESC,1.0,0.0,19.0,35.0,0.0,56.0,55.0
2026-05-08T02:30:07,08/05/2026 02:20:01,50.01,GESCOM,1.0,18.0,0.0,151.0,11.0,173.0,181.0
2026-05-08T02:30:07,08/05/2026 02:20:01,50.01,HESCOM,0.0,112.0,0.0,165.0,62.0,277.0,339.0
2026-05-08T02:30:07,08/05/2026 02:20:01,50.01,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T02:30:07,08/05/2026 02:20:01,50.01,TOTAL_IPPS,7.0,133.0,52.0,451.0,0.0,649.0,643.0
2026-05-08T02:30:23,08/05/2026 02:25:02,49.95,BESCOM,6.0,0.0,6.0,85.0,23.0,98.0,120.0
2026-05-08T02:30:23,08/05/2026 02:25:02,49.95,MESCOM,0.0,0.0,25.0,0.0,0.0,26.0,25.0
2026-05-08T02:30:23,08/05/2026 02:25:02,49.95,CESC,1.0,0.0,18.0,35.0,0.0,56.0,54.0
2026-05-08T02:30:23,08/05/2026 02:25:02,49.95,GESCOM,0.0,12.0,1.0,160.0,11.0,174.0,184.0
2026-05-08T02:30:23,08/05/2026 02:25:02,49.95,HESCOM,0.0,118.0,0.0,162.0,62.0,281.0,342.0
2026-05-08T02:30:23,08/05/2026 02:25:02,49.95,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T02:30:23,08/05/2026 02:25:02,49.95,TOTAL_IPPS,8.0,132.0,51.0,446.0,0.0,649.0,637.0
2026-05-08T02:30:57,08/05/2026 02:25:02,49.95,BESCOM,6.0,0.0,6.0,85.0,23.0,98.0,120.0
2026-05-08T02:30:57,08/05/2026 02:25:02,49.95,MESCOM,0.0,0.0,25.0,0.0,0.0,26.0,25.0
2026-05-08T02:30:57,08/05/2026 02:25:02,49.95,CESC,1.0,0.0,18.0,35.0,0.0,56.0,54.0
2026-05-08T02:30:57,08/05/2026 02:25:02,49.95,GESCOM,0.0,12.0,1.0,160.0,11.0,174.0,184.0
2026-05-08T02:30:57,08/05/2026 02:25:02,49.95,HESCOM,0.0,118.0,0.0,162.0,62.0,281.0,342.0
2026-05-08T02:30:57,08/05/2026 02:25:02,49.95,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T02:30:57,08/05/2026 02:25:02,49.95,TOTAL_IPPS,8.0,132.0,51.0,446.0,0.0,649.0,637.0
2026-05-08T02:31:00,08/05/2026 02:25:02,49.95,BESCOM,6.0,0.0,6.0,85.0,23.0,98.0,120.0
2026-05-08T02:31:00,08/05/2026 02:25:02,49.95,MESCOM,0.0,0.0,25.0,0.0,0.0,26.0,25.0
2026-05-08T02:31:00,08/05/2026 02:25:02,49.95,CESC,1.0,0.0,18.0,35.0,0.0,56.0,54.0
2026-05-08T02:31:00,08/05/2026 02:25:02,49.95,GESCOM,0.0,12.0,1.0,160.0,11.0,174.0,184.0
2026-05-08T02:31:00,08/05/2026 02:25:02,49.95,HESCOM,0.0,118.0,0.0,162.0,62.0,281.0,342.0
2026-05-08T02:31:00,08/05/2026 02:25:02,49.95,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T02:31:00,08/05/2026 02:25:02,49.95,TOTAL_IPPS,8.0,132.0,51.0,446.0,0.0,649.0,637.0
2026-05-08T02:31:57,08/05/2026 02:25:02,49.95,BESCOM,6.0,0.0,6.0,85.0,23.0,98.0,120.0
2026-05-08T02:31:57,08/05/2026 02:25:02,49.95,MESCOM,0.0,0.0,25.0,0.0,0.0,26.0,25.0
2026-05-08T02:31:57,08/05/2026 02:25:02,49.95,CESC,1.0,0.0,18.0,35.0,0.0,56.0,54.0
2026-05-08T02:31:57,08/05/2026 02:25:02,49.95,GESCOM,0.0,12.0,1.0,160.0,11.0,174.0,184.0
